Time [s],Terminal voltage [V],Current [A],Discharge capacity [A.h]
2072.727272727273,3.87768691267706,2.0,1.1515151515151527
2109.0909090909095,3.8744778626987366,2.0,1.171717171717173
2145.4545454545455,3.871284942439801,2.0,1.1919191919191932
2181.818181818182,3.868101286604007,2.0,1.2121212121212133
2218.1818181818185,3.8649191189500045,2.0,1.2323232323232336
2254.545454545455,3.861729955165834,2.0,1.252525252525254
2290.909090909091,3.858524741184266,2.0,1.2727272727272738
2327.2727272727275,3.8552936072405752,2.0,1.2929292929292941
2363.636363636364,3.8520262513953147,2.0,1.3131313131313143
2400.0,3.848711637912373,2.0,1.3333333333333346
2436.3636363636365,3.845338755363228,2.0,1.353535353535355
2472.727272727273,3.841896117903689,2.0,1.3737373737373753
2509.0909090909095,3.838371901110599,2.0,1.3939393939393954
2545.4545454545455,3.8347543829626067,2.0,1.4141414141414153
2581.818181818182,3.831031972451685,2.0,1.4343434343434356
2618.1818181818185,3.8271920586703763,2.0,1.4545454545454557
2654.545454545455,3.823223820348704,2.0,1.474747474747476
2690.909090909091,3.8191137523514302,2.0,1.494949494949496
2727.2727272727275,3.8148504541735253,2.0,1.5151515151515162
2763.636363636364,3.810425209843636,2.0,1.5353535353535364
2800.0000000000005,3.805829989593442,2.0,1.5555555555555567
2836.3636363636365,3.8010607500917324,2.0,1.5757575757575766
2872.727272727273,3.7961181531044534,2.0,1.595959595959597
2909.0909090909095,3.791012442583126,2.0,1.616161616161617
2945.4545454545455,3.785762156925463,2.0,1.6363636363636374
2981.818181818182,3.780393422256087,2.0,1.6565656565656577
3018.1818181818185,3.774940782984892,2.0,1.676767676767678
3054.545454545455,3.7694442227901614,2.0,1.6969696969696981
3090.909090909091,3.7639422336698427,2.0,1.717171717171718
3127.2727272727275,3.7584729534716312,2.0,1.7373737373737383
3163.636363636364,3.7530646845774815,2.0,1.7575757575757587
3200.0000000000005,3.7477401560218038,2.0,1.777777777777779
3236.3636363636365,3.7425127691938,2.0,1.7979797979797991
3272.727272727273,3.7373878407307117,2.0,1.8181818181818195
3309.0909090909095,3.73236517121513,2.0,1.8383838383838398
3345.454545454546,3.7274392687275313,2.0,1.8585858585858601
3381.818181818182,3.7226040011231456,2.0,1.8787878787878802
3418.1818181818185,3.717850506789565,2.0,1.8989898989899008
3454.545454545455,3.7131711042748727,2.0,1.9191919191919211
3490.909090909091,3.7085596962622454,2.0,1.939393939393941
3527.2727272727275,3.704010587524292,2.0,1.9595959595959616
3563.636363636364,3.699520345615131,2.0,1.9797979797979817
3600.0,3.6950869685559966,2.0,2.0000000000000018
